"ID"	"HAUTEUR"	"sur_map"	"sur_int"	"LIBELLE"	"LIBELONG"	"TYPEZONE"
"BATIMENT0000000334373498"	3.6	256.621	256.621	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334371743"	5.1	346.048	0.882745	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334371743"	5.1	346.048	345.543	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334371701"	2.8	318.087	318.087	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334369512"	3.5	108.784	108.784	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334370147"	4	1006.26	0	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334370147"	4	1006.26	1006.26	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334370746"	4.3	352.518	0.0976314	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334370746"	4.3	352.518	352.42	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334372848"	2.6	237.151	0	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334372848"	2.6	237.151	237.151	"UAa"	"Secteurs situes de part et d autre des axes a restructurer

(Bd Alsace Lorraine)"	"U"
"BATIMENT0000000334373236"	6.9	146.737	146.737	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334370803"	5.7	112.564	112.564	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334371953"	4.1	696.136	696.136	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361277"	0	16.4387	16.4387	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361584"	0	17.1727	17.1727	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361589"	0	7.58941	7.58941	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334362096"	0	5.70943	5.70943	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362097"	0	4.81417	4.81417	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334362098"	0	13.3479	13.3479	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361730"	0	11.9355	11.9355	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334362417"	0	13.4491	1.97401e-014	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362417"	0	13.4491	13.4491	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361507"	0	10.0435	10.0435	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361508"	0	2.55571	2.55571	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361414"	0	24.8974	24.8974	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361555"	0	9.09128	9.09128	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361558"	2.9	15.1472	15.1472	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361151"	3.8	39.333	39.333	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361416"	0	3.19457	3.19457	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361085"	0	17.3834	17.3834	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361089"	0	6.25445	6.25445	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361127"	0	9.57091	9.57091	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361128"	0	7.1661	7.1661	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361140"	5.4	22.9178	22.9178	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361276"	0	5.86345	5.86345	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361345"	0	39.0767	39.0767	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000334361188"	0	3.13326	3.13326	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361189"	0	3.90639	3.90639	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361201"	16.3	23.8769	23.8769	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361206"	15.9	1.27766	1.27766	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361273"	0	20.431	20.431	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361275"	0	7.243	7.243	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361292"	5	85.405	85.405	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000004289975"	2.6	36.4119	36.4119	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361307"	0	16.3716	16.3716	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361344"	0	7.43092	7.43092	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361346"	0	7.25205	7.25205	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000334361347"	0	0.378464	0.378464	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361407"	0	3.45917	3.45917	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000334361408"	0	34.7183	34.7183	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000334361410"	0	11.6959	11.6959	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361411"	0	16.0424	16.0424	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000334361412"	0	30.8428	30.8428	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361413"	0	9.2215	9.2215	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361456"	4.5	8.2001	8.2001	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361504"	0	19.1107	19.1107	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361505"	0	2.46613	2.46613	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361506"	0	10.9633	10.9633	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361553"	0	4.1673	4.1673	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361592"	2	235.264	235.264	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361647"	0	6.05939	6.05939	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361648"	0	13.7303	13.7303	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361649"	0	21.8367	21.8367	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361650"	0	15.0201	15.0201	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361725"	0	19.2729	19.2729	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361727"	0	10.1981	10.1981	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361728"	0	6.20188	6.20188	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361801"	0	2.87306	2.87306	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361802"	0	14.4467	14.4467	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361803"	0	11.3619	11.3619	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361804"	0	5.92511	5.92511	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361806"	0	27.7412	27.7412	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361809"	0	11.6303	11.6303	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361810"	0	8.01259	8.01259	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361811"	0	9.27002	9.27002	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361812"	0	18.6662	18.6662	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361815"	0	14.9917	14.9917	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361850"	0	1.15571	1.15571	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361890"	0	1.66846	1.66846	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361908"	0	4.49271	4.49271	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361910"	0	7.56106	7.56106	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361912"	0	6.40925	0.183121	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361912"	0	6.40925	6.22613	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361914"	8.4	43.522	43.522	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361961"	0	2.73061	2.73061	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361965"	0	30.7648	30.7648	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361966"	0	12.8023	12.8023	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334361967"	0	17.2379	17.2379	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334362035"	0	23.1875	23.1875	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334362036"	0	15.2115	15.2115	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
